"year","reg","sex","s.age","length","mean","sd","n","se"
"95",1978,"3A ","F",14,"length",151.5,33.2340187157677,2,23.5
"96",1978,"3A ","F",15,"length",146.5,9.19238815542512,2,6.5
"97",1978,"3A ","F",16,"length",169.5,16.2634559672906,2,11.5
"98",1978,"3A ","F",17,"length",171,NA,1,NA
"99",1978,"3A ","F",18,"length",190,NA,1,NA
"100",1978,"3A ","M",13,"length",124,7.07106781186548,2,5
"101",1979,"3A ","F",12,"length",135.090909090909,12.9108833582722,11,3.89277780103931
"102",1979,"3A ","F",13,"length",137.75,11.8708326020826,4,5.93541630104129
"103",1979,"3A ","F",14,"length",148,15.9791530856092,4,7.98957654280459
"104",1979,"3A ","F",15,"length",150,NA,1,NA
"105",1979,"3A ","F",16,"length",182,NA,1,NA
"106",1979,"3A ","F",17,"length",151.5,4.94974746830583,2,3.5
"107",1979,"3A ","F",18,"length",170,NA,1,NA
"108",1979,"3A ","M",12,"length",112.666666666667,9.50438495292217,3,5.48735921105144
"109",1979,"3A ","M",13,"length",109,NA,1,NA
"110",1979,"3A ","M",14,"length",126,NA,1,NA
"111",1979,"3A ","M",15,"length",96,NA,1,NA
"112",1979,"3A ","M",16,"length",140,NA,1,NA
"113",1979,"3A ","M",18,"length",147,NA,1,NA
"114",1980,"2B ","F",12,"length",107.5,2.12132034355964,2,1.5
"115",1980,"2B ","F",13,"length",115.5,12.0208152801713,2,8.5
"116",1980,"2B ","F",14,"length",152,NA,1,NA
"117",1980,"2B ","F",15,"length",142.666666666667,15.0443787951957,3,8.68587614719692
"118",1980,"2B ","F",17,"length",148,4.24264068711928,2,3
"119",1980,"2B ","F",18,"length",165,1.4142135623731,2,1
"120",1980,"2B ","M",12,"length",87.5,7.77817459305202,2,5.5
"121",1980,"2B ","M",13,"length",94.5,14.8492424049175,2,10.5
"122",1980,"2B ","M",14,"length",112.5,9.19238815542512,2,6.5
"123",1980,"2B ","M",16,"length",102,NA,1,NA
"124",1980,"2B ","M",17,"length",107,NA,1,NA
"125",1980,"3A ","F",12,"length",133.333333333333,15.7718102955875,9,5.25727009852917
"126",1980,"3A ","F",13,"length",138.083333333333,19.5003884965185,12,5.62927727388362
"127",1980,"3A ","F",14,"length",144.454545454545,15.1020769191766,11,4.55344751781775
"128",1980,"3A ","F",15,"length",154.666666666667,13.7646891235025,6,5.61941080343641
"129",1980,"3A ","F",16,"length",149.5,36.0624458405139,2,25.5
"130",1980,"3A ","F",17,"length",147.5,3.53553390593274,2,2.5
"131",1980,"3A ","F",18,"length",147,9.89949493661167,2,7
"132",1980,"3A ","M",12,"length",109.6,8.64869932417586,5,3.86781592116274
"133",1980,"3A ","M",14,"length",131,16.9705627484771,2,12
"134",1980,"3A ","M",17,"length",105,NA,1,NA
"135",1981,"2B ","F",12,"length",101,NA,1,NA
"136",1981,"2B ","F",13,"length",142.5,6.36396103067893,2,4.5
"137",1981,"2B ","F",14,"length",126,NA,1,NA
"138",1981,"2B ","F",15,"length",150,5.65685424949238,2,4
"139",1981,"2B ","F",16,"length",150.5,4.94974746830583,2,3.5
"140",1981,"2B ","F",17,"length",156,NA,1,NA
"141",1981,"2B ","F",18,"length",169,NA,1,NA
"142",1981,"2B ","M",12,"length",115,14.142135623731,2,10
"143",1981,"2B ","M",13,"length",101,8.48528137423857,2,6
"144",1981,"2B ","M",15,"length",106.5,19.0918830920368,2,13.5
"145",1981,"2B ","M",16,"length",102,1.4142135623731,2,1
"146",1981,"2B ","M",17,"length",121,NA,1,NA
"147",1981,"3A ","F",12,"length",124.8,15.3353000809058,15,3.95955745482942
"148",1981,"3A ","F",13,"length",140.846153846154,11.2238299601499,13,3.11293034064688
"149",1981,"3A ","F",14,"length",138.090909090909,9.85347193079217,11,2.9709335706124
"150",1981,"3A ","F",15,"length",160.25,9.66215001214237,8,3.41608589721378
"151",1981,"3A ","F",16,"length",160.875,8.95125689498408,8,3.16474722529304
"152",1981,"3A ","F",17,"length",162.666666666667,12.2092860834148,6,4.98442017133833
"153",1981,"3A ","F",18,"length",173.25,14.4539498638492,4,7.22697493192461
"154",1981,"3A ","M",12,"length",109.8,15.8177115917569,5,7.07389567353096
"155",1981,"3A ","M",13,"length",115.5,17.8965279952765,8,6.32737815257744
"156",1981,"3A ","M",14,"length",116,NA,1,NA
"157",1981,"3A ","M",15,"length",120.5,27.5771644662754,2,19.5
"158",1981,"3A ","M",16,"length",142.5,3.53553390593274,2,2.5
"159",1981,"3A ","M",18,"length",153.5,17.6776695296637,2,12.5
"160",1982,"2B ","F",12,"length",117.5,10.6066017177982,2,7.5
"161",1982,"2B ","F",13,"length",158,5.65685424949238,2,4
"162",1982,"2B ","F",14,"length",129,22,3,12.7017059221718
"163",1982,"2B ","F",15,"length",151,NA,1,NA
"164",1982,"2B ","F",16,"length",152,NA,1,NA
"165",1982,"2B ","F",17,"length",155,NA,1,NA
"166",1982,"2B ","M",12,"length",89.5,19.0918830920368,2,13.5
"167",1982,"2B ","M",15,"length",90,NA,1,NA
"168",1982,"2B ","M",16,"length",80,NA,1,NA
"169",1982,"2B ","M",17,"length",103,NA,1,NA
"170",1982,"2C ","F",12,"length",110.4,14.9264865256362,5,6.67532770731145
"171",1982,"2C ","F",13,"length",129.666666666667,20.441787266936,6,8.34532470575258
"172",1982,"2C ","F",14,"length",147,11.7260393995586,5,5.24404424085076
"173",1982,"2C ","F",15,"length",149.5,7.77817459305202,2,5.5
"174",1982,"2C ","F",16,"length",123,NA,1,NA
"175",1982,"2C ","F",17,"length",135,NA,1,NA
"176",1982,"2C ","F",18,"length",163.666666666667,20.2072594216369,3,11.6666666666667
"177",1982,"2C ","M",12,"length",95.875,11.357030547513,8,4.0153166571446
"178",1982,"2C ","M",13,"length",111,25.4558441227157,2,18
"179",1982,"2C ","M",14,"length",114,NA,1,NA
"180",1982,"2C ","M",15,"length",113,20.5101600838869,4,10.2550800419434
"181",1982,"2C ","M",16,"length",119,14.142135623731,2,10
"182",1982,"3A ","F",12,"length",139.285714285714,14.730546866597,14,3.93690424961589
"183",1982,"3A ","F",13,"length",140.928571428571,11.1938464257018,14,2.99168129751003
"184",1982,"3A ","F",14,"length",144.2,12.3166553901617,5,5.50817574156816
"185",1982,"3A ","F",15,"length",151.5,19.8074060223274,4,9.90370301116372
"186",1982,"3A ","F",16,"length",166.2,24.0769599409892,5,10.7675438239182
"187",1982,"3A ","F",17,"length",135,NA,1,NA
"188",1982,"3A ","F",18,"length",178.2,8.37854402626136,5,3.74699879903904
"189",1982,"3A ","M",12,"length",104.2,15.0834714542479,10,4.76981248175556
"190",1982,"3A ","M",13,"length",103.75,17.1148084028617,4,8.55740420143087
"191",1982,"3A ","M",14,"length",112,14.8155323900291,5,6.62570750939098
"192",1982,"3A ","M",15,"length",114,22.6274169979695,2,16
"193",1982,"3B ","F",12,"length",144.5,11.6261200177302,10,3.67650196065046
"194",1982,"3B ","F",13,"length",137.75,5.1234753829798,4,2.5617376914899
"195",1982,"3B ","F",14,"length",151.5,10.6066017177982,2,7.5
"196",1982,"3B ","F",15,"length",165,11,3,6.35085296108588
"197",1982,"3B ","F",17,"length",175.5,9.19238815542512,2,6.5
"198",1982,"3B ","F",18,"length",185,NA,1,NA
"199",1982,"3B ","M",12,"length",103,19.4422220952236,4,9.72111104761179
"200",1982,"3B ","M",13,"length",88,4.24264068711928,2,3
"201",1982,"3B ","M",14,"length",88,NA,1,NA
"202",1983,"2B ","F",12,"length",124,5.65685424949238,2,4
"203",1983,"2B ","F",14,"length",160,11.3137084989848,2,8
"204",1983,"2B ","F",15,"length",142,NA,1,NA
"205",1983,"2B ","F",16,"length",147.5,12.0208152801713,2,8.5
"206",1983,"2B ","F",17,"length",109,NA,1,NA
"207",1983,"2B ","M",12,"length",85,1,3,0.577350269189626
"208",1983,"2B ","M",13,"length",95,5.65685424949238,2,4
"209",1983,"2B ","M",15,"length",106,NA,1,NA
"210",1983,"2B ","M",16,"length",112,NA,1,NA
"211",1983,"2B ","M",18,"length",90,NA,1,NA
"212",1983,"2C ","F",12,"length",118.315789473684,18.7558957592271,19,4.30289759000285
"213",1983,"2C ","F",13,"length",133.352941176471,13.7247093615429,17,3.32873096344382
"214",1983,"2C ","F",14,"length",128.75,16.3880499699684,12,4.73082253082715
"215",1983,"2C ","F",15,"length",153,12.675435561221,4,6.33771778061051
"216",1983,"2C ","F",16,"length",161,NA,1,NA
"217",1983,"2C ","F",17,"length",146.25,5.31507290636732,4,2.65753645318366
"218",1983,"2C ","F",18,"length",158.666666666667,8.32666399786453,3,4.80740170061865
"219",1983,"2C ","M",12,"length",106.090909090909,17.2014798517717,11,5.18644131883501
"220",1983,"2C ","M",13,"length",100,10.9848380355227,10,3.47371079203014
"221",1983,"2C ","M",14,"length",99.6666666666667,14.0118997046558,3,8.08977406634107
"222",1983,"2C ","M",15,"length",109.166666666667,10.7035819549657,6,4.36971903495459
"223",1983,"2C ","M",16,"length",116.75,19.1027921170353,4,9.55139605851766
"224",1983,"2C ","M",17,"length",122,13.3416640641263,4,6.67083203206317
"225",1983,"2C ","M",18,"length",112.5,19.4336477961979,4,9.71682389809894
"226",1983,"3A ","F",12,"length",131.32,13.6647966200257,25,2.73295932400515
